Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6
29/10/2022,36,56,60,28,44,39
26/10/2022,53,20,17,37,45,18
22/10/2022,17,14,30,10,18,23
20/10/2022,18,56,1,5,49,55
18/10/2022,14,28,17,18,30,44
15/10/2022,5,57,56,59,32,3
13/10/2022,15,60,22,53,56,4
08/10/2022,48,56,19,38,29,8
05/10/2022,2,59,24,38,16,43
01/10/2022,51,47,21,26,13,4
28/09/2022,22,37,3,41,43,20
24/09/2022,37,45,1,27,10,36
21/09/2022,32,4,25,39,40,5
17/09/2022,59,23,28,55,33,38
15/09/2022,22,41,2,17,60,58
13/09/2022,20,8,3,36,57,38
10/09/2022,22,23,44,3,60,53
08/09/2022,6,1,22,16,5,39
03/09/2022,49,17,53,51,8,52
31/08/2022,54,3,41,12,45,19
27/08/2022,5,15,52,34,45,24
24/08/2022,50,21,13,46,35,19
20/08/2022,47,52,10,49,34,7
17/08/2022,49,39,4,15,41,10
13/08/2022,25,32,13,57,8,44
10/08/2022,50,8,37,59,39,60
06/08/2022,51,45,41,53,58,48
04/08/2022,4,34,6,35,12,53
02/08/2022,21,44,40,34,22,29
30/07/2022,43,26,5,51,3,19
27/07/2022,42,14,41,55,44,33
23/07/2022,45,43,14,16,38,3
20/07/2022,39,21,16,44,20,55
16/07/2022,58,32,11,27,59,40
13/07/2022,32,55,25,16,5,39
09/07/2022,38,11,56,59,47,19
06/07/2022,26,47,9,29,46,12
02/07/2022,14,5,48,52,46,23
30/06/2022,46,31,26,58,38,7
28/06/2022,33,41,8,12,30,14
25/06/2022,22,1,54,4,10,53
22/06/2022,44,4,56,9,37,43
18/06/2022,33,10,52,31,42,30
15/06/2022,53,48,29,43,38,22
11/06/2022,11,16,41,17,46,59
08/06/2022,13,10,41,25,42,3
04/06/2022,40,34,57,31,17,56
02/06/2022,54,42,48,36,23,58
31/05/2022,19,8,9,33,17,56
28/05/2022,60,12,38,47,5,32
25/05/2022,59,36,41,54,14,11
21/05/2022,54,49,34,38,40,20
18/05/2022,32,1,57,44,35,45
14/05/2022,1,37,36,21,8,27
11/05/2022,31,56,6,4,50,9
07/05/2022,21,10,35,20,17,15
04/05/2022,2,23,28,46,17,39
30/04/2022,20,49,33,37,50,38
28/04/2022,46,49,2,55,7,32
26/04/2022,60,45,1,44,58,40
23/04/2022,38,30,22,49,56,39
20/04/2022,55,15,28,60,42,18
16/04/2022,18,5,13,23,36,35
13/04/2022,30,8,23,29,55,36
09/04/2022,51,8,48,42,33,40
06/04/2022,5,55,38,30,28,52
02/04/2022,22,41,53,42,35,57
30/03/2022,1,10,45,19,35,34
26/03/2022,54,53,20,2,13,3
23/03/2022,29,54,53,8,3,23
19/03/2022,2,43,7,52,24,56
16/03/2022,11,31,16,42,51,37
12/03/2022,3,16,57,23,45,41
09/03/2022,37,32,21,11,16,8
05/03/2022,35,18,28,17,16,47
03/03/2022,33,49,15,59,24,53
26/02/2022,44,47,15,40,51,45
24/02/2022,50,49,19,47,10,46
22/02/2022,52,41,28,55,40,34
19/02/2022,59,53,38,21,50,56
16/02/2022,14,44,22,9,24,47
12/02/2022,44,24,10,34,14,15
09/02/2022,56,57,8,10,51,58
05/02/2022,13,51,26,60,31,46
02/02/2022,17,39,11,6,15,2
29/01/2022,14,49,52,31,20,21
27/01/2022,32,48,30,40,35,18
25/01/2022,52,13,19,42,49,29
22/01/2022,13,58,51,27,1,41
19/01/2022,25,32,47,11,37,56
15/01/2022,17,43,20,35,37,15
12/01/2022,31,1,12,13,5,17
08/01/2022,49,9,7,2,41,25
05/01/2022,42,9,41,54,46,47
